Id	Step	Table	Plots
1	Initial result	tables/Table-1.txt	
2	Log transformation	tables/Table-2.txt	
3	Boxplot		plots/3-boxplot.png;plots/3-boxplot.svg
4	Filter rows	tables/Table-4.txt	
5	Summary	tables/Summary-table-5.txt	
6	Filter on valid	tables/Table-6.txt	
7	Filter rows	tables/Table-7.txt	
8	Imputation	tables/Table-8.txt	
9	PCA		plots/9-pca.png;plots/9-pca.svg
10	t-test	tables/Table-10.txt	
11	Volcano plot		plots/11-volcano-plot.png;plots/11-volcano-plot.svg
12	Volcano plot		plots/12-volcano-plot.png;plots/12-volcano-plot.svg
13	Remove imputed	tables/Table-13.txt	
14	1D Enrichment	tables/Table-14.txt;tables/Enrichment-table-14.txt	
15	Remove imputed	tables/Table-15.txt	
16	Boxplot		plots/16-boxplot.png;plots/16-boxplot.svg
17	Boxplot		plots/17-boxplot.png;plots/17-boxplot.svg
18	Rename headers	tables/Table-18.txt	
19	Order columns	tables/Table-19.txt	
