Id	Step	Table	Plots
1	Initial result	tables/Table-1.txt	
2	Log transformation	tables/Table-2.txt	
3	Boxplot		plots/3-boxplot.png;plots/3-boxplot.svg
4	Filter rows	tables/Table-4.txt	
5	Summary	tables/Summary-table-5.txt	
6	Filter on valid	tables/Table-6.txt	
7	Filter rows	tables/Table-7.txt	
8	Imputation	tables/Table-8.txt	
9	PCA		plots/9-pca.png;plots/9-pca.svg
10	t-test	tables/Table-10.txt	
11	Volcano plot		plots/11-volcano-plot.png;plots/11-volcano-plot.svg
12	Volcano plot		plots/12-volcano-plot.png;plots/12-volcano-plot.svg
13	1D Enrichment	tables/Table-13.txt;tables/Enrichment-table-13.txt	
14	Remove imputed	tables/Table-14.txt	
15	Boxplot		plots/15-boxplot.png;plots/15-boxplot.svg
16	Rename headers	tables/Table-16.txt	
17	Order columns	tables/Table-17.txt	
