Column	Type	Name	Size	Score	P-value	Adj. p-value	Mean	Median
t.statistic.M03-D14	KEGG name	Glycosphingolipid biosynthesis - globo series	4	0.898695578519397	0.001859156834024559	0.0129162474784864	6.120938124132506	5.953939207560172
t.statistic.M03-D14	GOMF name	glutathione peroxidase activity	10	0.653790062743768	3.4673646292748784E-4	0.0166781975660976	5.301881450471946	5.584280415086241
t.statistic.M03-D14	KEGG name	Steroid biosynthesis	7	0.7415980629539952	6.834649508240286E-4	0.00645881546184509	4.3436158711333475	4.479082488682634
t.statistic.M18-M03	KEGG name	Rheumatoid arthritis	15	0.8245686443106907	3.317819423080559E-8	9.73227030770297E-7	4.119107292315704	3.9475468501580213
t.statistic.M18-M03	GOCC slim name	immunoglobulin complex	18	0.8145407968188422	2.2886812524808416E-9	1.51488901949922E-8	4.926949038515613	3.8636955184319426
t.statistic.M18-M03	KEGG name	Glycosphingolipid biosynthesis - globo series	4	0.8771884654994851	0.002386547807102122	0.0143192868426127	3.6985943966341055	3.7338430468841715
t.statistic.M18-M03	GOMF name	oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor	6	0.8633241758241759	2.516498083808631E-4	0.00780397158574362	3.880810292511665	3.719197647253301
t.statistic.M18-M03	KEGG name	Other glycan degradation	12	0.844963905122035	4.1027214245413827E-7	8.33168043137635E-6	3.8965291549426553	3.71719219254701
t.statistic.M03-D14	KEGG name	Galactose metabolism	18	0.4626516480821116	6.880171631127545E-4	0.00645881546184509	2.9680547992165374	3.665943510831339
t.statistic.M18-M03	KEGG name	Glycosaminoglycan degradation	12	0.778589435086513	3.066327834283073E-6	5.05944092656707E-5	3.673663046942856	3.605512358131491
t.statistic.M03-D14	KEGG name	Complement and coagulation cascades	43	0.6045639138297535	7.869223440171576E-12	6.92491662735099E-10	4.110394323306403	3.5625747774847336
t.statistic.M18-M03	GOMF name	cation-transporting ATPase activity	13	0.769534917549358	1.5868832844017572E-6	1.06824338169484E-4	3.6830182971789798	3.559132210885818
t.statistic.M18-M03	GOMF name	proton-transporting ATPase activity, rotational mechanism	11	0.819244168788764	2.5844156766508176E-6	1.5176568654375E-4	3.9622962761348477	3.559132210885818
