"GeneID","03-11-2O_young","06-10-2O_old","08-11-2O_young","13-10-2O_young","18-08-2O_old","23-05-2O_old","29-09-2O_old","30-06-2O_young"
"ENSMUSG00000000001",7058.112,6678.69,8541.255,7264.492,5885.635,6482.885,7235.077,7360.775
"ENSMUSG00000000003",0,0,0,0,0,0,0,0
"ENSMUSG00000000028",595,324,498.818,590.574,171.001,337.006,258,563.001
"ENSMUSG00000000037",357.999,143,272.001,435.999,174,215,266,332
"ENSMUSG00000000049",1,1,9,0,4,0,0,8
"ENSMUSG00000000056",824.002,1031.353,1113,1180,756,1109,778,799
"ENSMUSG00000000058",1525.095,1529.394,2547.369,1831.003,1997.018,1973.013,2086,1795
"ENSMUSG00000000078",10622.406,9420.947,7416.337,7473.421,13882.647,8513,10710.975,9882.509
"ENSMUSG00000000085",1651.221,1590.004,1452.475,1938.999,1869.001,2330,1936.765,2058.361
"ENSMUSG00000000088",2214.001,2543.184,2668.554,2227,2677.809,1814.103,1552.999,2559.547
"ENSMUSG00000000093",1168.417,952,853,1275,1165,562,613,1455
"ENSMUSG00000000094",240,102,156,357,107,64,90,234
"ENSMUSG00000000103",0,0,0,0,0,0,0,0
"ENSMUSG00000000120",296.057,333.008,214.209,586.153,324.99,574.239,1730.48,449.094
"ENSMUSG00000000125",9,0,7,6,21,3,1,7.173
"ENSMUSG00000000126",155,133,196,312,111,235,172,148
"ENSMUSG00000000127",795.999,832,1480.928,1054,571.014,861,995.007,1055
"ENSMUSG00000000131",3466.24,3668.913,3364.419,3913.465,3345.602,3568.615,3808.4,3851.614
"ENSMUSG00000000134",1548,1801.001,2004,2438.998,1658.982,2455.102,2950.544,1909
"ENSMUSG00000000142",1074.174,667.001,1261,1485.601,811.054,1077.302,1029,1251
"ENSMUSG00000000148",642.001,648.001,644,699,893,742.999,520.001,905.001
"ENSMUSG00000000149",3415.734,3862.419,3635.94,3551.41,3811.382,3532.276,3065.448,4039.111
"ENSMUSG00000000154",7,14,9,20,17,41,12,16
"ENSMUSG00000000157",1,3,1,0,0,13,0,1
"ENSMUSG00000000159",15,7,8,13,6,139,15,3
"ENSMUSG00000000167",38.001,38,46.206,32,43,55,26.001,49.999
"ENSMUSG00000000168",2191.001,2835.052,2300.957,2107.999,2545.965,2071.999,1890.977,2497.379
"ENSMUSG00000000171",3387.951,3432.008,4635.637,3422,3936.939,3890.974,2511.999,4029
"ENSMUSG00000000182",4,7,10,5,11,2,18,8
"ENSMUSG00000000183",4,0,4,3,6,1,0,0
"ENSMUSG00000000184",10695.024,7051.156,8627.986,12868.436,5582.51,11799.572,12333.618,12101.013
"ENSMUSG00000000194",2032.902,2719.034,2560.318,2695.202,2221.72,2540.105,2374.79,2513.018
"ENSMUSG00000000197",154,177,73,274.006,78,128,173,157.79
"ENSMUSG00000000202",18,6,9,31,3,16,6,11
"ENSMUSG00000000204",1068.001,488.88,175,895,69,1436.946,1398,677.001
"ENSMUSG00000000214",112,25,55,141.999,22,14,13,96
"ENSMUSG00000000215",1,2,0,0,0,1,0,2
"ENSMUSG00000000216",0,0,0,0,0,0,0,0
"ENSMUSG00000000223",139.045,99.146,155.027,291.23,74.031,319.011,372.08,209.793
"ENSMUSG00000000244",10,33,18,28,40,21,54,23.001
"ENSMUSG00000000247",17,3,9,22,12,6,4,17
"ENSMUSG00000000248",1,0,1,8,4,2,0,1
"ENSMUSG00000000253",387.534,351.314,545.139,583.511,432.344,537,296.495,705.848
"ENSMUSG00000000263",3,0,2,0,10,0,2,2
"ENSMUSG00000000266",932.833,1153.089,931.098,1135.319,1209.808,902.438,1298.136,1031.686
"ENSMUSG00000000275",2300.46,3454.774,2645.377,2767.686,3251.222,2068.079,4043.28,2190.217
"ENSMUSG00000000276",957.032,802.947,829.138,878.983,838.97,846.017,841.005,1096.055
"ENSMUSG00000000278",9494.945,12630.25,13425.248,9167.02,12749.252,10779.037,10206.647,9602.159
"ENSMUSG00000000282",1745,3096.564,1550.232,1903.991,2258,1782,2135,1702.995
"ENSMUSG00000000290",137,326,256.203,241,452,906.457,2230.136,297
"ENSMUSG00000000295",759.475,491.994,539,626,506.999,752,433,939.999
"ENSMUSG00000000296",791,1188.001,2113.146,665.427,1364,493,237.463,1370.599
"ENSMUSG00000000301",122,89,139.001,138,59,177,70,145
"ENSMUSG00000000303",2211,3490.002,1752,2427,2389.331,3367.173,3685.733,713
"ENSMUSG00000000305",58,68,76,115,62,68,92,46
"ENSMUSG00000000308",50,66,178,81,45,230,65,31
"ENSMUSG00000000317",362,577,426,592.999,754,442,1062,315.002
"ENSMUSG00000000318",90.998,83.46,65.427,130.117,140.451,92,87.264,230.849
"ENSMUSG00000000320",283,323,182,310.066,440.247,346.001,226.008,205
"ENSMUSG00000000326",1612.422,1920.775,2137.571,1809.477,2094.008,1903.477,1582.535,1971.595
"ENSMUSG00000000339",1118.506,1015.416,1176.589,1046,835.347,1054.001,840.009,1208.036
"ENSMUSG00000000340",1797.452,2775.873,2101.051,1517.542,2693.672,2120.082,1663.427,1966.553
"ENSMUSG00000000346",7006.578,8717.465,9454.632,6850.594,10347.959,9220.363,7479.784,9776.983
"ENSMUSG00000000355",938,1044.999,1252.999,965.001,1179.044,1061,862,1233.999
"ENSMUSG00000000359",154,127,451,198,142.005,156,245,188
"ENSMUSG00000000365",234,75.999,157.999,273.999,36,99,76,203
"ENSMUSG00000000374",1899,2589.096,2103.292,2298.454,1998,2084,2266,2121.883
"ENSMUSG00000000378",1059.998,1070.997,1337.001,1085,1219.411,1196.999,1127.317,1471
"ENSMUSG00000000381",0,0,0,0,0,0,0,0
"ENSMUSG00000000384",1544.786,1248.973,1458.015,1744.532,1273.709,1570.309,1489.856,1914.892
"ENSMUSG00000000385",28,14,21,21,33,101,30,12
"ENSMUSG00000000386",31.932,21.299,34,42.272,49,72,121.983,63
"ENSMUSG00000000392",126.849,130,111.999,144,155.15,137,232,188
"ENSMUSG00000000394",5,2,20,1,14,1,18,2
"ENSMUSG00000000399",2809.406,3040.003,3756,2516.734,3136.906,2898.065,2016.999,3587.793
"ENSMUSG00000000402",447.059,758.018,566.083,820.153,534.042,1301.576,888.423,293.093
"ENSMUSG00000000409",141.001,101,124,147.999,267,203,293.001,145
"ENSMUSG00000000411",1,5,0,7,0,20,15,3
"ENSMUSG00000000416",252,356,239,364.001,432.001,644,627.001,258.999
"ENSMUSG00000000420",5281.999,5562.001,6276.527,5585.356,5069.682,6015.072,5231.002,5796.751
"ENSMUSG00000000435",57,43,37,73,31,134,105,133
"ENSMUSG00000000439",2289.987,2295.321,2009.227,2319.493,2651.109,2444.952,2127.319,2470.567
"ENSMUSG00000000440",1227,820.375,1205.18,1595,704,1591.827,1343,1538
"ENSMUSG00000000441",6013.614,6387.473,4586.861,6057.048,5938.302,6890.757,5683.41,5993.552
"ENSMUSG00000000486",294,348,331,401.615,658.001,546.989,535.001,483
"ENSMUSG00000000489",1134,1304.001,1090.958,1187,1786.999,763,965,1422
"ENSMUSG00000000530",744,1098,649.059,969.05,1310.999,1068,1064.001,942.028
"ENSMUSG00000000531",891,676.009,724.014,915.996,679,964.384,1029.999,1010
"ENSMUSG00000000532",934,1155,1065.128,1189,1231,1268,2079,1036.094
"ENSMUSG00000000538",2478.999,2800.207,2517.999,3391.003,2633.667,2681.933,2314.34,3403.005
"ENSMUSG00000000544",12,7,15,12,2,4,2,10
"ENSMUSG00000000552",296,311,384,430.001,310,486,448.001,463
"ENSMUSG00000000555",3186.001,3036,4784,4191.919,4016,3245.253,6056.677,3306.731
"ENSMUSG00000000560",58.285,110.412,85.308,139.738,248.425,99.723,56.781,103.301
"ENSMUSG00000000561",2240.18,1613.168,2095.582,2384.149,1675.777,2453.15,2313.642,3111.464
"ENSMUSG00000000562",9.011,20.04,15.981,13.741,27.007,25.466,12.898,28.391
"ENSMUSG00000000563",7856.61,10967.187,9601.42,6245.765,12252.631,7106.791,5183.206,8733.661
"ENSMUSG00000000567",486,683,648,444,779.042,975,724,331
"ENSMUSG00000000568",9043.384,6440.938,8301.367,9138.689,6802.473,10003.275,9015.419,10754.237
"ENSMUSG00000000579",999.491,1416.865,1093.337,1000.834,2308.569,1058.062,904.948,1251.786
"ENSMUSG00000000581",1786.001,1914.877,2369.465,1750,2581.022,2105.34,1619.019,2521.455
"ENSMUSG00000000594",42530.231,65847.4,34265.954,16238.424,75034.294,6068.09,4868.378,28540.193
"ENSMUSG00000000600",3966.257,3518.237,3340.01,4027.064,3791.251,3277.904,3950.364,4064.515
"ENSMUSG00000000605",3137,5272.995,4170.32,4060.048,5515.087,5554.636,4142.03,4743.009
"ENSMUSG00000000606",14,3.037,11.414,7.199,13.043,5.937,2,10.028
"ENSMUSG00000000617",6,4,6,3,1,2,0,1
