"gene_symbol","n_significant","n_positive","n_negative","consistent_direction","mean_value","fractions_significant","log2FoldChange","padj","category"
"Amh",1,0,1,"Consistently negative",-1.55593717098236,"insoluble",2.21385932310135,7.07284651242843e-05,"Discordant (up RNA, down Protein)"
"Apoa1",2,0,2,"Consistently negative",-1.01161016523838,"soluble, insoluble",2.42435144814657,1.42517373623589e-06,"Discordant (up RNA, down Protein)"
"Apoa4",2,0,2,"Consistently negative",-0.695205464959145,"soluble, insoluble",1.4571432424252,0.00781148055519939,"Discordant (up RNA, down Protein)"
"Apoc1",1,0,1,"Consistently negative",-1.41033840179443,"insoluble",-1.04747511291615,0.0292833223464334,"Concordant Down"
"Apoc3",1,0,1,"Consistently negative",-1.69069635868073,"insoluble",1.20762389009157,0.0258797369109785,"Discordant (up RNA, down Protein)"
"Astl",1,0,1,"Consistently negative",-1.46382224559784,"insoluble",2.6328288195575,7.42360750746546e-08,"Discordant (up RNA, down Protein)"
"Atp6v0a1",1,1,0,"Consistently positive",1.10359001159668,"insoluble",-0.673005861150376,0.00068864360853097,"Modest RNA change"
"Atp8a1",1,1,0,"Consistently positive",1.37748694419861,"insoluble",-0.574651174765938,0.0275371912881112,"Modest RNA change"
"Bpgm",2,0,2,"Consistently negative",-0.912212550640106,"cellular, insoluble",1.09425431754586,0.00021655277726475,"Discordant (up RNA, down Protein)"
"C3",3,0,3,"Consistently negative",-0.724499225616455,"cellular, soluble, insoluble",-1.94497427508531,0.0131055504391693,"Concordant Down"
"C4b",1,0,1,"Consistently negative",-0.308066040277481,"soluble",-2.92404119094822,1.69746086475489e-07,"Concordant Down"
"C8b",1,0,1,"Consistently negative",-1.08425688743591,"insoluble",3.03034673643288,5.97552139663196e-06,"Discordant (up RNA, down Protein)"
"Calb1",1,0,1,"Consistently negative",-0.371584445238113,"soluble",1.9594991540309,0.0027499972257649,"Discordant (up RNA, down Protein)"
"Cat",1,1,0,"Consistently positive",0.478557854890823,"soluble",-1.15225508649557,0.0489390660990441,"Discordant (down RNA, up Protein)"
"Cd300a",1,1,0,"Consistently positive",0.987057149410248,"insoluble",-1.43705453288894,0.00884005592146477,"Discordant (down RNA, up Protein)"
"Cd82",1,1,0,"Consistently positive",1.06173694133759,"insoluble",-0.688400539468677,0.00034536883841066,"Modest RNA change"
"Cdk1",1,0,1,"Consistently negative",-0.339672029018402,"soluble",1.19537161187595,0.00025587860507195,"Discordant (up RNA, down Protein)"
"Cfb",1,0,1,"Consistently negative",-1.19308936595917,"insoluble",-0.956519090231763,0.00894332625157631,"Modest RNA change"
"Ckb",2,0,2,"Consistently negative",-0.902625858783722,"cellular, insoluble",0.631290519588926,0.0237164874382121,"Modest RNA change"
"Creg1",1,1,0,"Consistently positive",0.315556734800339,"soluble",-0.589057422418838,0.00510138770411707,"Modest RNA change"
"Ctsd",1,1,0,"Consistently positive",0.308984756469727,"soluble",-0.934288450069359,1.49195820166252e-05,"Modest RNA change"
"Ctss",1,1,0,"Consistently positive",0.320240706205368,"soluble",-1.67772687745314,0.00638732692557916,"Discordant (down RNA, up Protein)"
"Dcn",1,1,0,"Consistently positive",0.404730886220932,"soluble",-1.26396583214348,0.00017928411559515,"Discordant (down RNA, up Protein)"
"Dctpp1",1,0,1,"Consistently negative",-0.340513736009598,"soluble",0.652344260394166,0.00264109523193731,"Modest RNA change"
"Dhfr",1,0,1,"Consistently negative",-0.421605348587036,"soluble",0.669296765284029,0.00278894343793379,"Modest RNA change"
"Dppa5a",1,0,1,"Consistently negative",-1.36926245689392,"insoluble",2.07435683641844,0.00016898564439714,"Discordant (up RNA, down Protein)"
"Efnb1",1,1,0,"Consistently positive",0.632154524326324,"cellular",0.525578403510333,0.0101435431646074,"Modest RNA change"
"Elavl2",1,0,1,"Consistently negative",-1.51861751079559,"insoluble",1.95953571929894,3.46590318149662e-06,"Discordant (up RNA, down Protein)"
"Erh",1,0,1,"Consistently negative",-0.485390812158585,"cellular",0.551068112831158,0.017959070603765,"Modest RNA change"
"Fen1",2,0,2,"Consistently negative",-0.818277955055237,"cellular, insoluble",0.715542541413278,0.00140046428027044,"Modest RNA change"
"Fnbp1",1,1,0,"Consistently positive",0.316193580627441,"soluble",-0.960784127591198,0.00478898397551701,"Modest RNA change"
"Fth1",1,1,0,"Consistently positive",0.425123155117035,"soluble",-0.917674215784987,1.68523528991884e-08,"Modest RNA change"
"Gbp2",1,1,0,"Consistently positive",0.405496060848236,"soluble",-1.66196810063035,0.00787905477975714,"Discordant (down RNA, up Protein)"
"Gimap4",1,1,0,"Consistently positive",0.460516929626465,"soluble",-1.04314666723954,0.0117678686205728,"Discordant (down RNA, up Protein)"
"Gins3",1,0,1,"Consistently negative",-1.35273277759552,"insoluble",0.599666070938686,0.00778875773083643,"Modest RNA change"
"Glmn",1,0,1,"Consistently negative",-0.42188960313797,"soluble",0.58043939859044,0.0105648674876702,"Modest RNA change"
"Gmds",1,0,1,"Consistently negative",-0.323126137256622,"soluble",0.751987685126581,0.00225753644299412,"Modest RNA change"
"Gpnmb",1,1,0,"Consistently positive",0.981284916400909,"insoluble",-3.00157172606675,0.00038702271889814,"Discordant (down RNA, up Protein)"
"Gsta3",1,1,0,"Consistently positive",0.387202858924866,"soluble",-1.08069403709982,0.021415049732243,"Discordant (down RNA, up Protein)"
"Gvin1",1,1,0,"Consistently positive",0.479206055402756,"cellular",-1.56962494981559,0.0017872950661086,"Discordant (down RNA, up Protein)"
"Gyg1",2,0,2,"Consistently negative",-0.551803022623062,"cellular, soluble",0.874830854835029,8.8999693820318e-05,"Modest RNA change"
"Hapln1",1,1,0,"Consistently positive",1.23718822002411,"insoluble",-1.91546840866006,0.0132543055769109,"Discordant (down RNA, up Protein)"
"Hexa",1,1,0,"Consistently positive",0.348543167114258,"soluble",-0.404677585126548,0.0246329671447744,"Modest RNA change"
"Hk3",1,1,0,"Consistently positive",0.305113852024078,"soluble",-1.86209470966732,0.0101996022182826,"Discordant (down RNA, up Protein)"
"Hmgb2",2,0,2,"Consistently negative",-0.929158881306648,"cellular, insoluble",0.888362352809322,0.0010021415880642,"Modest RNA change"
"Ifi211",1,1,0,"Consistently positive",0.483381301164627,"soluble",-1.37802492019021,0.0234809771155075,"Discordant (down RNA, up Protein)"
"Iigp1",1,1,0,"Consistently positive",0.974698543548584,"insoluble",-1.53115403157932,0.0104421185637983,"Discordant (down RNA, up Protein)"
"Itga6",1,1,0,"Consistently positive",0.565877318382263,"cellular",0.487202068147988,0.0197713615984064,"Modest RNA change"
"Itgax",1,1,0,"Consistently positive",1.20726680755615,"insoluble",-1.87436601592474,0.0167554832434569,"Discordant (down RNA, up Protein)"
"Itgb2",1,1,0,"Consistently positive",1.01238906383514,"insoluble",-2.17881263398096,0.00121664906641543,"Discordant (down RNA, up Protein)"
"Khdc1b",1,0,1,"Consistently negative",-1.04256510734558,"insoluble",2.44603498581901,3.88305146160847e-07,"Discordant (up RNA, down Protein)"
"Khdc3",1,0,1,"Consistently negative",-1.63568198680878,"insoluble",2.2171872781547,1.41420380341889e-06,"Discordant (up RNA, down Protein)"
"Kpna2",2,0,2,"Consistently negative",-0.766579017043114,"soluble, insoluble",0.864507406191563,0.00338425826754009,"Modest RNA change"
"Lgals3bp",1,1,0,"Consistently positive",0.456292599439621,"soluble",-0.770225600980398,0.0235571642333122,"Modest RNA change"
"Lig1",2,0,2,"Consistently negative",-0.875422298908234,"soluble, insoluble",0.745238447686672,0.00778875773083643,"Modest RNA change"
"Lmna",1,1,0,"Consistently positive",0.584799528121948,"soluble",-0.475214988860229,0.0425556832182759,"Modest RNA change"
"Lsm14b",1,0,1,"Consistently negative",-1.06734561920166,"insoluble",0.684260359538828,0.00028059200933533,"Modest RNA change"
"Lsm2",1,0,1,"Consistently negative",-0.505249679088593,"cellular",0.434464334017303,0.0220812633923772,"Modest RNA change"
"Man2b2",1,1,0,"Consistently positive",0.498308956623077,"soluble",-0.747024014887148,0.0392532875151582,"Modest RNA change"
"Map2",1,0,1,"Consistently negative",-1.38542807102203,"insoluble",0.647049592867974,0.0117678686205728,"Modest RNA change"
"Mcm4",1,0,1,"Consistently negative",-0.571612894535065,"soluble",0.628158247182999,0.00439139600240197,"Modest RNA change"
"Mcm5",1,0,1,"Consistently negative",-0.468664467334747,"soluble",1.14633578632842,0.0100008784278745,"Discordant (up RNA, down Protein)"
"Mcm6",1,0,1,"Consistently negative",-0.503456115722656,"soluble",0.745805565754589,0.0213631999337937,"Modest RNA change"
"Mcm7",1,0,1,"Consistently negative",-0.523171603679657,"soluble",0.753518371538164,0.00950692182926895,"Modest RNA change"
"Mki67",1,0,1,"Consistently negative",-0.974998712539673,"insoluble",1.1939209232182,0.00218638829047847,"Discordant (up RNA, down Protein)"
"Msh2",1,0,1,"Consistently negative",-0.31925955414772,"soluble",0.481913337250604,0.0419238369357275,"Modest RNA change"
"Naga",1,1,0,"Consistently positive",0.382975876331329,"soluble",-0.582587791144042,0.00019039782626344,"Modest RNA change"
"Nasp",3,0,3,"Consistently negative",-0.81401581565539,"cellular, soluble, insoluble",0.569989563295618,0.00058692089767341,"Modest RNA change"
"Nexn",1,0,1,"Consistently negative",-1.00461840629578,"insoluble",0.631468449276392,0.0253536340880352,"Modest RNA change"
"Nlrp4f",1,0,1,"Consistently negative",-0.979125320911407,"insoluble",2.34012547656784,1.269537812965e-06,"Discordant (up RNA, down Protein)"
"Nlrp5",1,0,1,"Consistently negative",-1.13535332679749,"insoluble",2.63912801741075,1.71116636703375e-06,"Discordant (up RNA, down Protein)"
"Nmral1",1,0,1,"Consistently negative",-0.47947359085083,"soluble",0.504453546474543,0.0101208148351553,"Modest RNA change"
"Npm1",1,0,1,"Consistently negative",-0.661399006843567,"cellular",0.611788354979594,0.00765311745530429,"Modest RNA change"
"Npm2",1,0,1,"Consistently negative",-1.73242855072021,"insoluble",2.18245504776588,3.60619249088228e-06,"Discordant (up RNA, down Protein)"
"Ooep",1,0,1,"Consistently negative",-1.40289103984833,"insoluble",1.76990071819464,0.00015065231461751,"Discordant (up RNA, down Protein)"
"P2rx7",1,1,0,"Consistently positive",1.17201054096222,"insoluble",-0.672811838669505,0.00894332625157631,"Modest RNA change"
"Padi6",3,0,3,"Consistently negative",-0.99455264210701,"cellular, soluble, insoluble",2.6086769470484,3.8338101326707e-07,"Discordant (up RNA, down Protein)"
"Pdia4",1,1,0,"Consistently positive",0.387357473373413,"soluble",1.17289084965407,0.00231998332543895,"Concordant Up"
"Phgdh",1,0,1,"Consistently negative",-0.484813421964645,"soluble",0.985791694811401,0.0168315947956384,"Modest RNA change"
"Pimreg",1,0,1,"Consistently negative",-1.11155021190643,"insoluble",1.24145547675478,0.0045521527388616,"Discordant (up RNA, down Protein)"
"Pld3",1,1,0,"Consistently positive",0.312352925539017,"soluble",-0.978090633818466,0.0004097566594357,"Modest RNA change"
"Plscr1",1,1,0,"Consistently positive",1.38904523849487,"insoluble",-0.684015935931409,0.00887023308110692,"Modest RNA change"
"Plvap",1,1,0,"Consistently positive",1.43687188625336,"insoluble",-1.68134863131974,0.00318165549725325,"Discordant (down RNA, up Protein)"
"Pola2",1,0,1,"Consistently negative",-0.3649842441082,"soluble",0.477156422434114,0.0129065248150559,"Modest RNA change"
"Pold3",1,0,1,"Consistently negative",-0.389058023691177,"soluble",0.392519000009986,0.0151159941815421,"Modest RNA change"
"Ppa1",1,0,1,"Consistently negative",-0.318281352519989,"soluble",0.537857644679113,0.0239273777769344,"Modest RNA change"
"Ppp1r2",2,0,2,"Consistently negative",-0.887768536806107,"cellular, insoluble",-0.524789675091005,0.00724671243640093,"Modest RNA change"
"Psat1",1,0,1,"Consistently negative",-0.409877508878708,"soluble",1.06038490187986,0.00537752374044205,"Discordant (up RNA, down Protein)"
"Ptprc",1,1,0,"Consistently positive",1.22569942474365,"insoluble",-1.6347466926188,0.00751519142907954,"Discordant (down RNA, up Protein)"
"Rac2",1,1,0,"Consistently positive",1.01806056499481,"insoluble",-1.11422292750965,0.0386258704327913,"Discordant (down RNA, up Protein)"
"Rrm1",1,0,1,"Consistently negative",-0.322723835706711,"soluble",0.468424009835053,0.0228815738558995,"Modest RNA change"
"Rsl1d1",1,1,0,"Consistently positive",0.612153470516205,"cellular",0.472992093889808,0.0040981337647414,"Modest RNA change"
"Samd9l",1,1,0,"Consistently positive",0.370835065841675,"soluble",-1.0239931426727,0.00263167381841259,"Discordant (down RNA, up Protein)"
"Serping1",1,0,1,"Consistently negative",-0.35181400179863,"soluble",-0.764571549800934,0.0414898795861088,"Modest RNA change"
"Sgsh",1,1,0,"Consistently positive",0.381063163280487,"soluble",-0.803332588745923,0.0165813722438822,"Modest RNA change"
"Slc25a31",1,0,1,"Consistently negative",-1.59661900997162,"insoluble",2.00854812964302,0.00030224531133429,"Discordant (up RNA, down Protein)"
"Slc44a1",1,1,0,"Consistently positive",1.27752923965454,"insoluble",-0.599882235592123,0.0220087878551442,"Modest RNA change"
"Sod3",1,1,0,"Consistently positive",0.412286520004272,"soluble",-1.36558023332631,9.45690584341908e-06,"Discordant (down RNA, up Protein)"
"Sp100",1,1,0,"Consistently positive",0.38621512055397,"soluble",-0.992773502010815,0.00175717093040855,"Modest RNA change"
"Stmn1",3,0,3,"Consistently negative",-0.880127628644307,"cellular, soluble, insoluble",1.06597252050494,0.00099919486579531,"Discordant (up RNA, down Protein)"
"Syngr1",1,1,0,"Consistently positive",1.39791262149811,"insoluble",-1.12057309903265,0.00197466447472448,"Discordant (down RNA, up Protein)"
"Tapbp",1,1,0,"Consistently positive",1.13770866394043,"insoluble",-0.750153616034721,0.00396800686167702,"Modest RNA change"
"Tgtp2",1,1,0,"Consistently positive",0.36226749420166,"soluble",-2.08315331483495,0.00120127276230154,"Discordant (down RNA, up Protein)"
"Tle6",1,0,1,"Consistently negative",-1.25847268104553,"insoluble",1.37383082006388,0.00065992864359286,"Discordant (up RNA, down Protein)"
"Tmem176a",1,1,0,"Consistently positive",1.21728932857513,"insoluble",-0.722004856304958,0.0120581407982384,"Modest RNA change"
"Tmem176b",1,1,0,"Consistently positive",1.10574388504028,"insoluble",-0.708658899591228,0.00317645556553358,"Modest RNA change"
"Tns2",1,1,0,"Consistently positive",0.325588017702103,"soluble",-0.725791451835975,0.0271748628458317,"Modest RNA change"
"Txnl1",1,0,1,"Consistently negative",-0.523424208164215,"cellular",0.409432567076569,0.0239357504034425,"Modest RNA change"
"Ube2h",1,0,1,"Consistently negative",-0.494594484567642,"cellular",-0.356013244837493,0.00213610243904845,"Modest RNA change"
"Uhrf1",1,0,1,"Consistently negative",-1.53536868095398,"insoluble",1.501827266883,1.63360641500475e-05,"Discordant (up RNA, down Protein)"
"Unc93b1",1,1,0,"Consistently positive",1.22671556472778,"insoluble",-0.845939435660569,0.00174763167682453,"Modest RNA change"
"Vcan",1,0,1,"Consistently negative",-0.372371017932892,"soluble",1.6648925385974,0.00679517609486889,"Discordant (up RNA, down Protein)"
"Ybx2",1,0,1,"Consistently negative",-1.64479601383209,"insoluble",1.92805207364227,1.3776414311393e-05,"Discordant (up RNA, down Protein)"
"Zar1",1,0,1,"Consistently negative",-1.4352775812149,"insoluble",2.51352857869253,2.44011781152372e-08,"Discordant (up RNA, down Protein)"
"Zbed3",1,0,1,"Consistently negative",-1.40723419189453,"insoluble",1.58990549913387,4.21217150100405e-06,"Discordant (up RNA, down Protein)"
"Zp2",1,0,1,"Consistently negative",-0.318205654621124,"soluble",2.70265887734367,3.76427591978843e-08,"Discordant (up RNA, down Protein)"
