sample,factor,value,group,timepoint_label,timepoint_num,replicate
M03_rep1,Factor1,-0.3685878813266754,group1,M03,90,rep1
M03_rep2,Factor1,-0.5281457901000977,group1,M03,90,rep2
M03_rep3,Factor1,-0.28116947412490845,group1,M03,90,rep3
M03_rep4,Factor1,-0.2981586456298828,group1,M03,90,rep4
M03_rep5,Factor1,-0.5019119381904602,group1,M03,90,rep5
M06_rep1,Factor1,-0.4435124397277832,group1,M06,180,rep1
M06_rep2,Factor1,-0.47920724749565125,group1,M06,180,rep2
M06_rep3,Factor1,-0.05385730043053627,group1,M06,180,rep3
M06_rep4,Factor1,-0.1276421695947647,group1,M06,180,rep4
M06_rep5,Factor1,-0.020450999960303307,group1,M06,180,rep5
M12_rep1,Factor1,0.24383535981178284,group1,M12,365,rep1
M12_rep2,Factor1,0.580444872379303,group1,M12,365,rep2
M12_rep3,Factor1,0.49401089549064636,group1,M12,365,rep3
M12_rep4,Factor1,0.5271062254905701,group1,M12,365,rep4
M12_rep5,Factor1,1.2604268789291382,group1,M12,365,rep5
M03_rep1,Factor2,-0.13847371935844421,group1,M03,90,rep1
M03_rep2,Factor2,-0.17849640548229218,group1,M03,90,rep2
M03_rep3,Factor2,0.19260069727897644,group1,M03,90,rep3
M03_rep4,Factor2,0.015608672052621841,group1,M03,90,rep4
M03_rep5,Factor2,0.16519799828529358,group1,M03,90,rep5
M06_rep1,Factor2,0.1597299426794052,group1,M06,180,rep1
M06_rep2,Factor2,0.05138497054576874,group1,M06,180,rep2
M06_rep3,Factor2,-0.10220101475715637,group1,M06,180,rep3
M06_rep4,Factor2,0.12808896601200104,group1,M06,180,rep4
M06_rep5,Factor2,0.2964111864566803,group1,M06,180,rep5
M12_rep1,Factor2,0.022658035159111023,group1,M12,365,rep1
M12_rep2,Factor2,-0.10017364472150803,group1,M12,365,rep2
M12_rep3,Factor2,-0.05517634376883507,group1,M12,365,rep3
M12_rep4,Factor2,-0.15985657274723053,group1,M12,365,rep4
M12_rep5,Factor2,-0.28654831647872925,group1,M12,365,rep5
M03_rep1,Factor3,0.18703018128871918,group1,M03,90,rep1
M03_rep2,Factor3,0.07184086740016937,group1,M03,90,rep2
M03_rep3,Factor3,0.17569057643413544,group1,M03,90,rep3
M03_rep4,Factor3,-0.2618466019630432,group1,M03,90,rep4
M03_rep5,Factor3,-0.18575121462345123,group1,M03,90,rep5
M06_rep1,Factor3,0.22260825335979462,group1,M06,180,rep1
M06_rep2,Factor3,0.10259190201759338,group1,M06,180,rep2
M06_rep3,Factor3,-0.26459693908691406,group1,M06,180,rep3
M06_rep4,Factor3,-0.16737118363380432,group1,M06,180,rep4
M06_rep5,Factor3,-0.2927262485027313,group1,M06,180,rep5
M12_rep1,Factor3,0.1937723308801651,group1,M12,365,rep1
M12_rep2,Factor3,0.25898638367652893,group1,M12,365,rep2
M12_rep3,Factor3,0.29578134417533875,group1,M12,365,rep3
M12_rep4,Factor3,-0.1315019577741623,group1,M12,365,rep4
M12_rep5,Factor3,-0.19503465294837952,group1,M12,365,rep5
M03_rep1,Factor4,-0.011512767523527145,group1,M03,90,rep1
M03_rep2,Factor4,-0.11119971424341202,group1,M03,90,rep2
M03_rep3,Factor4,-0.10543517023324966,group1,M03,90,rep3
M03_rep4,Factor4,-0.20618940889835358,group1,M03,90,rep4
M03_rep5,Factor4,-0.19308705627918243,group1,M03,90,rep5
M06_rep1,Factor4,-0.11500448733568192,group1,M06,180,rep1
M06_rep2,Factor4,0.03895696625113487,group1,M06,180,rep2
M06_rep3,Factor4,0.11755023151636124,group1,M06,180,rep3
M06_rep4,Factor4,0.038039542734622955,group1,M06,180,rep4
M06_rep5,Factor4,0.14181256294250488,group1,M06,180,rep5
M12_rep1,Factor4,0.21086172759532928,group1,M12,365,rep1
M12_rep2,Factor4,0.05306648090481758,group1,M12,365,rep2
M12_rep3,Factor4,0.1033281683921814,group1,M12,365,rep3
M12_rep4,Factor4,0.6704879999160767,group1,M12,365,rep4
M12_rep5,Factor4,-0.6283286809921265,group1,M12,365,rep5
M03_rep1,Factor5,0.08259490132331848,group1,M03,90,rep1
M03_rep2,Factor5,-0.09702824056148529,group1,M03,90,rep2
M03_rep3,Factor5,-0.05753530189394951,group1,M03,90,rep3
M03_rep4,Factor5,0.25224795937538147,group1,M03,90,rep4
M03_rep5,Factor5,-0.052319832146167755,group1,M03,90,rep5
M06_rep1,Factor5,0.013620934449136257,group1,M06,180,rep1
M06_rep2,Factor5,0.024073796346783638,group1,M06,180,rep2
M06_rep3,Factor5,-0.019242726266384125,group1,M06,180,rep3
M06_rep4,Factor5,-0.05692634731531143,group1,M06,180,rep4
M06_rep5,Factor5,-0.022115228697657585,group1,M06,180,rep5
M12_rep1,Factor5,-0.056644462049007416,group1,M12,365,rep1
M12_rep2,Factor5,0.04663305729627609,group1,M12,365,rep2
M12_rep3,Factor5,0.008544979616999626,group1,M12,365,rep3
M12_rep4,Factor5,0.029697438701987267,group1,M12,365,rep4
M12_rep5,Factor5,-0.09220848977565765,group1,M12,365,rep5
M03_rep1,Factor6,-0.12593196332454681,group1,M03,90,rep1
M03_rep2,Factor6,0.0010941107757389545,group1,M03,90,rep2
M03_rep3,Factor6,-0.14811618626117706,group1,M03,90,rep3
M03_rep4,Factor6,0.01126244105398655,group1,M03,90,rep4
M03_rep5,Factor6,-0.020494800060987473,group1,M03,90,rep5
M06_rep1,Factor6,-0.06646481901407242,group1,M06,180,rep1
M06_rep2,Factor6,0.08333290368318558,group1,M06,180,rep2
M06_rep3,Factor6,-0.06590298563241959,group1,M06,180,rep3
M06_rep4,Factor6,-0.06014934927225113,group1,M06,180,rep4
M06_rep5,Factor6,0.03198524937033653,group1,M06,180,rep5
