factor,view,r2
Factor1,cellular,16.866090514577802
Factor1,soluble,9.674804472467446
Factor1,insoluble,32.14750058585416
Factor2,cellular,22.659924683196607
Factor2,soluble,0.2930254198948101
Factor2,insoluble,0.07033838047950658
Factor3,cellular,3.25704004618792
Factor3,soluble,13.44538112117969
Factor3,insoluble,0.8525725947504226
Factor4,cellular,4.1978883435837115
Factor4,soluble,2.4915550917221863
Factor4,insoluble,5.862099088161898
Factor5,cellular,8.895870627395919
Factor5,soluble,0.045307249192361176
Factor5,insoluble,0.02125647358552918
Factor6,cellular,1.7928483580547216
Factor6,soluble,3.1429889608734274
Factor6,insoluble,3.3230758886738876
Factor7,cellular,0.9348552273081623
Factor7,soluble,3.8083036284524585
Factor7,insoluble,2.5717248761696343
Factor8,cellular,3.3153063649005388
Factor8,soluble,1.4592407244810701
Factor8,insoluble,0.6142838863002487
Factor9,cellular,0.0870901111938549
Factor9,soluble,0.767908685201002
Factor9,insoluble,1.9043979781723563
Factor10,cellular,0.8841630071377726
Factor10,soluble,0.4104585822539586
Factor10,insoluble,0.7395966150715805
