sample,factor,value,group,timepoint_label,timepoint_num,replicate
D14_rep1,Factor1,-1.5559207201004028,group1,D14,14,rep1
D14_rep2,Factor1,-1.5419992208480835,group1,D14,14,rep2
D14_rep3,Factor1,-1.5379257202148438,group1,D14,14,rep3
D14_rep4,Factor1,-1.5561002492904663,group1,D14,14,rep4
D14_rep5,Factor1,-1.41901695728302,group1,D14,14,rep5
D21_rep1,Factor1,-1.7798779010772705,group1,D21,21,rep1
D21_rep2,Factor1,-1.936215877532959,group1,D21,21,rep2
D21_rep3,Factor1,-1.5688138008117676,group1,D21,21,rep3
D21_rep4,Factor1,-1.824894905090332,group1,D21,21,rep4
D21_rep5,Factor1,-1.828771710395813,group1,D21,21,rep5
M03_rep1,Factor1,0.21096481382846832,group1,M03,90,rep1
M03_rep2,Factor1,0.30345454812049866,group1,M03,90,rep2
M03_rep3,Factor1,0.39552974700927734,group1,M03,90,rep3
M03_rep4,Factor1,0.20643866062164307,group1,M03,90,rep4
M03_rep5,Factor1,0.2314431071281433,group1,M03,90,rep5
M06_rep1,Factor1,0.5027410387992859,group1,M06,180,rep1
M06_rep2,Factor1,0.36446869373321533,group1,M06,180,rep2
M06_rep3,Factor1,0.46540147066116333,group1,M06,180,rep3
M06_rep4,Factor1,0.4702463448047638,group1,M06,180,rep4
M06_rep5,Factor1,0.577515184879303,group1,M06,180,rep5
M12_rep1,Factor1,0.6804283261299133,group1,M12,365,rep1
M12_rep2,Factor1,0.5875734686851501,group1,M12,365,rep2
M12_rep3,Factor1,1.004244327545166,group1,M12,365,rep3
M12_rep4,Factor1,1.0664198398590088,group1,M12,365,rep4
M12_rep5,Factor1,1.4709539413452148,group1,M12,365,rep5
M18_rep1,Factor1,1.978082299232483,group1,M18,548,rep1
M18_rep2,Factor1,1.3214985132217407,group1,M18,548,rep2
M18_rep3,Factor1,1.429168701171875,group1,M18,548,rep3
M18_rep4,Factor1,1.9361844062805176,group1,M18,548,rep4
M18_rep5,Factor1,1.4537829160690308,group1,M18,548,rep5
D14_rep1,Factor2,1.1154203414916992,group1,D14,14,rep1
