factor,view,r2
Factor1,cellular,24.969342418768083
Factor1,soluble,36.1488543553106
Factor1,insoluble,37.78493531082076
Factor2,cellular,15.92982816546905
Factor2,soluble,7.778153242055074
Factor2,insoluble,20.436275636560186
Factor3,cellular,3.1998722851324657
Factor3,soluble,5.048037943129913
Factor3,insoluble,3.2361315596583395
Factor4,cellular,10.963790358135206
Factor4,soluble,0.02622919812074187
Factor4,insoluble,0.02329347175452634
Factor5,cellular,7.976938608028005
Factor5,soluble,0.06390977891167493
Factor5,insoluble,0.09613587986256888
Factor6,cellular,0.09522598734689192
Factor6,soluble,7.088655604893246
Factor6,insoluble,0.01987834764194396
Factor7,cellular,2.9393421263657182
Factor7,soluble,1.6123490132548768
Factor7,insoluble,2.0005545657738377
Factor8,cellular,2.675552257237712
Factor8,soluble,0.6444406399224722
Factor8,insoluble,1.8133466060634817
Factor9,cellular,0.39713473014978407
Factor9,soluble,0.17339010681239886
Factor9,insoluble,3.4476410611466446
Factor10,cellular,0.5547665276687264
Factor10,soluble,1.0662238648595501
Factor10,insoluble,1.8538106424190959
