"gene_symbol","f_stat","p_value","padj","is_significant","fraction"
"Ubtf",60.1799233139509,8.61067882792362e-13,4.73415121959241e-09,TRUE,"Cellular"
"Aldh1a2",49.0923265585541,7.9466679315884e-12,1.4563593429291e-08,TRUE,"Cellular"
"Scpep1",49.6373807846533,7.05221369889431e-12,1.4563593429291e-08,TRUE,"Cellular"
"Tpd52",41.8588672302862,4.38723164976717e-11,3.44585708720284e-08,TRUE,"Cellular"
"Ruvbl1",42.262069468489,3.96217590369367e-11,3.44585708720284e-08,TRUE,"Cellular"
"Rfc4",42.1393962942304,4.08657143096655e-11,3.44585708720284e-08,TRUE,"Cellular"
"Ybx3",43.2208245901766,3.12018654372417e-11,3.44585708720284e-08,TRUE,"Cellular"
"Adgrg1",40.5740356248932,6.10624558861887e-11,3.73023758291406e-08,TRUE,"Cellular"
"Carhsp1",40.6038456951764,6.05895543364758e-11,3.73023758291406e-08,TRUE,"Cellular"
"Snw1",39.7107623359332,7.6650422235532e-11,4.21424021450955e-08,TRUE,"Cellular"
"Skp1",39.1209293967835,8.97571782502447e-11,4.48622696381678e-08,TRUE,"Cellular"
"Cpe",36.8765924526186,1.66906989107109e-10,7.21233139979214e-08,TRUE,"Cellular"
"Dek",36.8008432085501,1.70535300467984e-10,7.21233139979214e-08,TRUE,"Cellular"
"Pabpc4",36.1337784859414,2.06438973054635e-10,8.03919476362538e-08,TRUE,"Cellular"
"Dpp7",35.9244936398536,2.1933052283445e-10,8.03919476362538e-08,TRUE,"Cellular"
"Nap1l4",35.6824291578562,2.35338562205244e-10,8.0868213437777e-08,TRUE,"Cellular"
"Rps19",35.2963590231091,2.63549130965421e-10,8.52348895322285e-08,TRUE,"Cellular"
"Man2b2",34.8553308476056,3.00332001062978e-10,9.17347412135696e-08,TRUE,"Cellular"
"Hrg",33.9662386403815,3.92550306618361e-10,1.09043698766207e-07,TRUE,"Cellular"
"Cstf2",33.932000777956,3.9666678343473e-10,1.09043698766207e-07,TRUE,"Cellular"
"Serpina3k",33.5739418785981,4.42631946523371e-10,1.14755880621796e-07,TRUE,"Cellular"
"Stmn1",33.4547314645515,4.59190500851132e-10,1.14755880621796e-07,TRUE,"Cellular"
"Enpep",33.1854426001358,4.99118323621081e-10,1.14992887131934e-07,TRUE,"Cellular"
"Cbx3",33.1671123564079,5.01969678276903e-10,1.14992887131934e-07,TRUE,"Cellular"
"Cbx5",32.4402054799785,6.30582726032509e-10,1.36863759688542e-07,TRUE,"Cellular"
"Cpn2",32.3580528122172,6.47227674045489e-10,1.36863759688542e-07,TRUE,"Cellular"
"Cobll1",31.579290476909,8.3090604031476e-10,1.66567294721513e-07,TRUE,"Cellular"
"Acadsb",31.5154759245075,8.48287423099738e-10,1.66567294721513e-07,TRUE,"Cellular"
"Cfdp1",31.2886182965864,9.13338604132578e-10,1.67384521517364e-07,TRUE,"Cellular"
"Ik",31.304987852278,9.08468242188673e-10,1.67384521517364e-07,TRUE,"Cellular"
"Akr1b10",30.7913368530487,1.07564443336956e-09,1.90770744989221e-07,TRUE,"Cellular"
"Psmc3",29.7644424089053,1.51876025495854e-09,2.54688815585438e-07,TRUE,"Cellular"
"Lsm6",29.7453279069769,1.52868878034184e-09,2.54688815585438e-07,TRUE,"Cellular"
"Sh3glb2",29.3525655019472,1.74907436965142e-09,2.82835614245397e-07,TRUE,"Cellular"
