"gene_symbol","f_stat","p_value","padj","is_significant","fraction"
"Mtmr14",345.57067183821,1.55512674334667e-21,9.63162981989518e-18,TRUE,"Insoluble"
"Cyp11a1",330.899487370276,2.59612663609034e-21,9.63162981989518e-18,TRUE,"Insoluble"
"Igf2bp2",232.660769991871,1.64065418149746e-19,3.55283647648559e-16,TRUE,"Insoluble"
"Igkc",229.61060291441,1.91527572856366e-19,3.55283647648559e-16,TRUE,"Insoluble"
"Dnmt1",207.088589575685,6.41700199048781e-19,9.52283095388392e-16,TRUE,"Insoluble"
"Tle6",173.771698341666,4.96901872287444e-18,5.26715984624691e-15,TRUE,"Insoluble"
"Ighg2b",175.946697821151,4.299095876439e-18,5.26715984624691e-15,TRUE,"Insoluble"
"Fth1",167.054173161789,7.86055166898968e-18,7.29066167298793e-15,TRUE,"Insoluble"
"Nlrp5",156.278266422494,1.70520420415297e-17,1.40584613275723e-14,TRUE,"Insoluble"
"Hao2",152.781871322392,2.21684735783923e-17,1.64490073951671e-14,TRUE,"Insoluble"
"Hsd3b1",151.410203874409,2.46111861478368e-17,1.66013637469954e-14,TRUE,"Insoluble"
"Pecr",146.752828109407,3.53420855238698e-17,2.18531895489261e-14,TRUE,"Insoluble"
"Hsd3b6",144.314914724444,4.29029244062503e-17,2.44876691611059e-14,TRUE,"Insoluble"
"GCAB_MOUSE",141.478704201307,5.39733995767436e-17,2.86059017756741e-14,TRUE,"Insoluble"
"Nlrp14",138.409519808201,6.95431190222993e-17,3.44006628763641e-14,TRUE,"Insoluble"
"Ftl1",134.210645855341,9.92456833706893e-17,4.60251856631572e-14,TRUE,"Insoluble"
"Lgals3",132.359857032226,1.16486242370159e-16,5.08428187286223e-14,TRUE,"Insoluble"
"Tpp1",127.986803060433,1.71562927023819e-16,7.07220510287078e-14,TRUE,"Insoluble"
"Uhrf1",127.336000851316,1.81935635319849e-16,7.10506533722778e-14,TRUE,"Insoluble"
"Ly86",124.672443117768,2.32048339480814e-16,8.60899339473819e-14,TRUE,"Insoluble"
"Atp6v1a",115.913132944426,5.35766252765796e-16,1.89304075977248e-13,TRUE,"Insoluble"
"Tinagl1",104.393758362116,1.77432133200385e-15,5.98430194703118e-13,TRUE,"Insoluble"
"Aldh3b1",103.761228872942,1.90172847587153e-15,6.13514143085513e-13,TRUE,"Insoluble"
"Abhd5",100.804064367815,2.64424301060541e-15,7.84811325547686e-13,TRUE,"Insoluble"
"Gpnmb",101.112601292216,2.5537621044901e-15,7.84811325547686e-13,TRUE,"Insoluble"
"Atp6v1b2",97.1920964562672,4.00552785045159e-15,1.14311602501349e-12,TRUE,"Insoluble"
"Nlrp4f",95.1285261400578,5.11179050430992e-15,1.40479576081406e-12,TRUE,"Insoluble"
"Fbln5",93.9574195293812,5.88371414492474e-15,1.55918424840506e-12,TRUE,"Insoluble"
"Fgf2",92.7272634160155,6.83266110271211e-15,1.74821880628013e-12,TRUE,"Insoluble"
"A1bg",91.4820410470085,7.96448754505182e-15,1.96988325280948e-12,TRUE,"Insoluble"
"Hyou1",91.1295839237789,8.32060901308318e-15,1.99157802829281e-12,TRUE,"Insoluble"
"Slc25a31",90.3140995006072,9.21248000997437e-15,2.12882855796478e-12,TRUE,"Insoluble"
"Emb",90.0963044286513,9.46783590469509e-15,2.12882855796478e-12,TRUE,"Insoluble"
"Astl",89.5031465425857,1.02029892844046e-14,2.13547492896429e-12,TRUE,"Insoluble"
"Amh",89.1657321269174,1.06485946592559e-14,2.13547492896429e-12,TRUE,"Insoluble"
"Nmral1",89.3121224635082,1.04527277375286e-14,2.13547492896429e-12,TRUE,"Insoluble"
"Pdcd4",89.3579850841341,1.03921702268226e-14,2.13547492896429e-12,TRUE,"Insoluble"
"Ybx2",88.2295215911652,1.19992033022541e-14,2.28292534622374e-12,TRUE,"Insoluble"
"Bcam",88.3526059751857,1.18114929070784e-14,2.28292534622374e-12,TRUE,"Insoluble"
"Fdx1",85.2722305364078,1.76376418497792e-14,3.27178256313404e-12,TRUE,"Insoluble"
"Gstk1",84.7407747871552,1.89269797677269e-14,3.42532170430571e-12,TRUE,"Insoluble"
"Cbx5",83.5865392850255,2.20930147531857e-14,3.90309927306281e-12,TRUE,"Insoluble"
"Atp6v1e1",83.1277117503429,2.35071451219451e-14,4.05634922801936e-12,TRUE,"Insoluble"
"Khdc3",82.2243521201701,2.65864698626529e-14,4.43249210282911e-12,TRUE,"Insoluble"
"Dysf",82.1437646584358,2.68816906505809e-14,4.43249210282911e-12,TRUE,"Insoluble"
"Ddx50",81.1559237856276,3.08039248609367e-14,4.86308771208831e-12,TRUE,"Insoluble"
"Rps4x",81.2235091429679,3.05167131650918e-14,4.86308771208831e-12,TRUE,"Insoluble"
"Cat",80.9416409027739,3.17340746565299e-14,4.90555904065525e-12,TRUE,"Insoluble"
"Lsm14b",80.3818822407655,3.43105173856589e-14,5.10421361760769e-12,TRUE,"Insoluble"
"Fcgr2",80.3643125446416,3.43949704690545e-14,5.10421361760769e-12,TRUE,"Insoluble"
"Endod1",79.99408312229,3.62279706251074e-14,5.27081454977053e-12,TRUE,"Insoluble"
"Scpep1",79.122410942849,4.09752932390921e-14,5.73654105347289e-12,TRUE,"Insoluble"
"Nlrp4a",79.1935956836372,4.0563384056581e-14,5.73654105347289e-12,TRUE,"Insoluble"
"Ooep",78.1550116517561,4.70459715255918e-14,6.46446497629429e-12,TRUE,"Insoluble"
"Fdxr",77.3366349290907,5.2944985288315e-14,7.14275983344177e-12,TRUE,"Insoluble"
"Padi6",76.6179786228703,5.87889931203042e-14,7.78954158844031e-12,TRUE,"Insoluble"
"Acadsb",75.4015173186415,7.03363767530768e-14,9.15606869311982e-12,TRUE,"Insoluble"
"Paics",74.4550480242584,8.10201075358392e-14,1.03649861709643e-11,TRUE,"Insoluble"
"Sdha",74.2971873806706,8.29672222606679e-14,1.04341828673586e-11,TRUE,"Insoluble"
"Iqgap1",74.1278851028344,8.51119493123358e-14,1.05255110649589e-11,TRUE,"Insoluble"
"Wnt5a",72.9655486997437,1.01561705150027e-13,1.19953485468561e-11,TRUE,"Insoluble"
"Emx2",73.1421049252481,9.88554100953848e-14,1.19953485468561e-11,TRUE,"Insoluble"
"Hsd17b4",72.9472147565575,1.01847298982741e-13,1.19953485468561e-11,TRUE,"Insoluble"
"Zar1",72.7169230484826,1.05509687776446e-13,1.22325294265817e-11,TRUE,"Insoluble"
"Zp2",71.5974842738139,1.25465153556078e-13,1.43223298367092e-11,TRUE,"Insoluble"
"Prelp",71.2808967650689,1.31824901781959e-13,1.4820314715487e-11,TRUE,"Insoluble"
"Nsa2",71.1776459492573,1.33973898101069e-13,1.48371093120885e-11,TRUE,"Insoluble"
"Fhl1",70.9305577323961,1.39272290333155e-13,1.51970646216472e-11,TRUE,"Insoluble"
"Pola1",69.6457741723673,1.70741500196656e-13,1.80985990208456e-11,TRUE,"Insoluble"
"Htatip2",69.6842915501544,1.69693308490714e-13,1.80985990208456e-11,TRUE,"Insoluble"
"CH082_MOUSE",69.4583165339337,1.75943995779959e-13,1.83873866012295e-11,TRUE,"Insoluble"
"Adh1",68.0142291513334,2.22280018360027e-13,2.29071907809916e-11,TRUE,"Insoluble"
