"gene_symbol","f_stat","p_value","padj","is_significant","fraction"
"Dnmt1.1",371.721026930179,6.56458283579163e-22,3.68010513774479e-18,TRUE,"Soluble"
"Fth1",212.492605731238,4.74711270381435e-19,7.17362878461581e-16,TRUE,"Soluble"
"Fdx1",211.129241225372,5.1185364142817e-19,7.17362878461581e-16,TRUE,"Soluble"
"Ftl1",213.151636629461,4.57813190241312e-19,7.17362878461581e-16,TRUE,"Soluble"
"Ldhb",203.006391667506,8.09921348891732e-19,9.0808381637741e-16,TRUE,"Soluble"
"Mcm4",187.599342053932,2.03596005309742e-18,1.90226534294402e-15,TRUE,"Soluble"
"Igkc",170.501685161207,6.19840368775236e-18,4.96403586764853e-15,TRUE,"Soluble"
"Mcm7",162.20435505418,1.10697969681443e-17,7.75716022542712e-15,TRUE,"Soluble"
"Taldo1",156.165826514605,1.71950198252631e-17,1.07105867933805e-14,TRUE,"Soluble"
"Mcm3",150.798547789092,2.57931337421592e-17,1.27395482384089e-14,TRUE,"Soluble"
"Msh6",152.395118347969,2.28294687805258e-17,1.27395482384089e-14,TRUE,"Soluble"
"Mcm6",150.075697018311,2.72698142812892e-17,1.27395482384089e-14,TRUE,"Soluble"
"Fdxr",143.121113783077,4.7229884459132e-17,2.03669794059919e-14,TRUE,"Soluble"
"Gmps",136.591737806013,8.10141758677082e-17,3.24403907081694e-14,TRUE,"Soluble"
"Mcm2",134.753878383386,9.47259361035772e-17,3.54022398531102e-14,TRUE,"Soluble"
"Fbxw24",132.066912756608,1.19500775791952e-16,4.18700843181054e-14,TRUE,"Soluble"
"Mndal",124.009142347954,2.46733122044657e-16,8.1363875422491e-14,TRUE,"Soluble"
"Fbxo6",120.417390950584,3.45896355542565e-16,1.07727498287312e-13,TRUE,"Soluble"
"Mcm5",119.618818635804,3.73366658387974e-16,1.10162815101209e-13,TRUE,"Soluble"
"Ighg2b",117.299478475762,4.67461286192947e-16,1.31029398519883e-13,TRUE,"Soluble"
"Me1",116.261354598129,5.17648132005964e-16,1.31906155819338e-13,TRUE,"Soluble"
"Padi6",116.348031876695,5.13242186359289e-16,1.31906155819338e-13,TRUE,"Soluble"
"Acss1",115.731612160801,5.45482282274126e-16,1.32955377149076e-13,TRUE,"Soluble"
"Npm2",112.298162441607,7.70303728978757e-16,1.79930112693955e-13,TRUE,"Soluble"
"Dppa5a",111.769940664473,8.13032621335923e-16,1.82314435008367e-13,TRUE,"Soluble"
"Col1a1",111.380756254416,8.46155671311394e-16,1.82444180514295e-13,TRUE,"Soluble"
"Pdzk1",110.407310347663,9.35582210413143e-16,1.94254587836151e-13,TRUE,"Soluble"
"Sh3glb1",106.499005793439,1.41263998901696e-15,2.82830706372468e-13,TRUE,"Soluble"
"Ppat",103.433650009676,1.97157805249095e-15,3.81126433181527e-13,TRUE,"Soluble"
"Fen1",100.461417345217,2.74881516921145e-15,5.13661927953313e-13,TRUE,"Soluble"
"Nudt5",95.8633914800082,4.68391181064926e-15,8.47032568080637e-13,TRUE,"Soluble"
"Paox",93.6150715867674,6.13257088027122e-15,1.07434976108752e-12,TRUE,"Soluble"
"Ctss",90.2073716612157,9.33666914626668e-15,1.58610203739306e-12,TRUE,"Soluble"
"Akap12",89.198801530249,1.06040034550685e-14,1.74841304026806e-12,TRUE,"Soluble"
"Amh",87.1512810876342,1.3788797060936e-14,2.20857132353164e-12,TRUE,"Soluble"
"Pcna",86.3373136103057,1.53310022540101e-14,2.38737773988834e-12,TRUE,"Soluble"
"Adh1",84.0644757847855,2.07173969273333e-14,3.06682791729082e-12,TRUE,"Soluble"
"Cyp11a1",84.0389954985835,2.07883447836338e-14,3.06682791729082e-12,TRUE,"Soluble"
"Gatm",83.1268996404022,2.35097333720605e-14,3.29488913209427e-12,TRUE,"Soluble"
"Ehd4",83.3043862698867,2.29513419734562e-14,3.29488913209427e-12,TRUE,"Soluble"
"Abhd4",81.8486370821239,2.79935453182028e-14,3.82760524521573e-12,TRUE,"Soluble"
"Anxa1",80.8668012733103,3.20660679100221e-14,4.28005658818057e-12,TRUE,"Soluble"
"Gpx1",79.3685209108282,3.95701132679717e-14,5.05302318316412e-12,TRUE,"Soluble"
"Parp1",79.3525260823682,3.96598323330755e-14,5.05302318316412e-12,TRUE,"Soluble"
"Isyna1",79.0703905213769,4.12791734222213e-14,5.14246769344384e-12,TRUE,"Soluble"
"Acot1",78.6358313749315,4.39151699227166e-14,5.27840693255722e-12,TRUE,"Soluble"
"Serpinc1",78.5821100405911,4.42535008616107e-14,5.27840693255722e-12,TRUE,"Soluble"
"Rpa1",77.9183617511133,4.86749752609141e-14,5.68483148568093e-12,TRUE,"Soluble"
"Ighg2c",77.0462100259005,5.52272000022807e-14,6.31844251454664e-12,TRUE,"Soluble"
"Dnpep",76.830537120639,5.69909063016743e-14,6.38982041454373e-12,TRUE,"Soluble"
"Lgmn",75.714934767018,6.71431799840505e-14,7.3804836664821e-12,TRUE,"Soluble"
"Asah1",73.8979262914647,8.81218203779248e-14,9.50021009689704e-12,TRUE,"Soluble"
"Hk1",73.4386246474329,9.44844374543343e-14,9.6761873377848e-12,TRUE,"Soluble"
"Ptbp2",73.6268903442045,9.18181795647832e-14,9.6761873377848e-12,TRUE,"Soluble"
"Gyg1",73.4075681245314,9.49322696357767e-14,9.6761873377848e-12,TRUE,"Soluble"
"Stx7",72.4678326937699,1.09632311873381e-13,1.09749775064673e-11,TRUE,"Soluble"
"Gmpr",72.1677174488147,1.14832692020994e-13,1.12938959906964e-11,TRUE,"Soluble"
"Aldh1a2",69.2208476997642,1.827824070563e-13,1.76668650682348e-11,TRUE,"Soluble"
"Pdcd4",66.6073828333305,2.80379438896115e-13,2.66407988890105e-11,TRUE,"Soluble"
"Fscn1",66.1523117841561,3.02544000766359e-13,2.82676944716035e-11,TRUE,"Soluble"
"Hsp90aa1",65.8394001917269,3.18882671898532e-13,2.88331654623092e-11,TRUE,"Soluble"
"Msh2",65.9034708234155,3.15460978595505e-13,2.88331654623092e-11,TRUE,"Soluble"
"Nudc",64.9919512523997,3.68130168966679e-13,3.27577417020191e-11,TRUE,"Soluble"
"Aldh4a1",64.7382776322982,3.84429989603565e-13,3.36736644018373e-11,TRUE,"Soluble"
"Ctsd",64.237092423414,4.18979388398306e-13,3.61353607901678e-11,TRUE,"Soluble"
"Pcx",63.9891721145798,4.37301101917119e-13,3.71187416556414e-11,TRUE,"Soluble"
"Spin1",63.8921911577539,4.44702753884156e-13,3.71187416556414e-11,TRUE,"Soluble"
"Dut",63.8207090039292,4.50245171705961e-13,3.71187416556414e-11,TRUE,"Soluble"
"Skp1",63.2430299347911,4.97881461116039e-13,4.04510647973408e-11,TRUE,"Soluble"
"Rpa2",62.9171216853282,5.27144207793873e-13,4.22167204127494e-11,TRUE,"Soluble"
"Ostf1",61.0047068204725,7.41141783451412e-13,5.85188850426566e-11,TRUE,"Soluble"
"Aarsd1",59.1710646033511,1.03712891691415e-12,8.07520098363986e-11,TRUE,"Soluble"
"Dpp7",58.4635607716114,1.18372235205658e-12,9.09033904880714e-11,TRUE,"Soluble"
"Col1a2",57.8079400765964,1.33975881285614e-12,1.01220969342073e-10,TRUE,"Soluble"
"Paics",57.7515416666474,1.35418706754468e-12,1.01220969342073e-10,TRUE,"Soluble"
"Vwa5a",57.5758614472594,1.40022022451308e-12,1.03284665508162e-10,TRUE,"Soluble"
"Rrm1",56.8474663728942,1.60999139980698e-12,1.17215737497636e-10,TRUE,"Soluble"
"Hmox1",56.6101841015257,1.68549182933695e-12,1.21139323016192e-10,TRUE,"Soluble"
"Hmga2",56.3479230705987,1.7734284487144e-12,1.25846074474594e-10,TRUE,"Soluble"
"Anxa2",56.0000467837641,1.89782456662404e-12,1.32990056506179e-10,TRUE,"Soluble"
"Nmral1",55.581560277288,2.06013726783533e-12,1.40843042969328e-10,TRUE,"Soluble"
"Lamb1",55.6045319786631,2.05084794122342e-12,1.40843042969328e-10,TRUE,"Soluble"
"Npc2",55.3888859314854,2.13986982188298e-12,1.44531448451518e-10,TRUE,"Soluble"
"Ddx6",54.6916687196374,2.45755018652813e-12,1.62082662890314e-10,TRUE,"Soluble"
"Ak4",54.7377755910417,2.43503682240949e-12,1.62082662890314e-10,TRUE,"Soluble"
"Hmgb2",54.5451364502825,2.53060986488125e-12,1.64960452354933e-10,TRUE,"Soluble"
"Carhsp1",54.3628975730278,2.62477254793164e-12,1.69131895444883e-10,TRUE,"Soluble"
"Serpinb9",53.1026578264228,3.38964647791797e-12,2.1423772853907e-10,TRUE,"Soluble"
"H1.0",53.0860618729887,3.40120546556853e-12,2.1423772853907e-10,TRUE,"Soluble"
"H2.Q10",52.9203499827247,3.5189934282204e-12,2.19194190651151e-10,TRUE,"Soluble"
"Fkbp9",52.5789483142056,3.77583189320713e-12,2.32607841684826e-10,TRUE,"Soluble"
"Cct5",52.2382834618347,4.05247843724071e-12,2.44281657195392e-10,TRUE,"Soluble"
"Mecp2.1",52.2597374231996,4.03442342296136e-12,2.44281657195392e-10,TRUE,"Soluble"
"Impa2",52.1554820683423,4.12298681914521e-12,2.45887916043916e-10,TRUE,"Soluble"
"Pygb",52.0818021092338,4.18684612323338e-12,2.47067993335224e-10,TRUE,"Soluble"
"Ppic",51.7975327054297,4.44345509451985e-12,2.59479263123732e-10,TRUE,"Soluble"
"Hnrnph2",51.6609841141613,4.57273117883442e-12,2.64275577201503e-10,TRUE,"Soluble"
"Dhfr",50.8020645543157,5.4854049725732e-12,3.10617982588337e-10,TRUE,"Soluble"
"Cpox",50.8062741411796,5.48047774860584e-12,3.10617982588337e-10,TRUE,"Soluble"
"Txndc5",50.3660321334731,6.02272268938911e-12,3.37633833967154e-10,TRUE,"Soluble"
"Idh2",50.2910146754928,6.12078515906125e-12,3.39733877244528e-10,TRUE,"Soluble"
"Dnmt3a",50.1279780732095,6.33992253941046e-12,3.48447115254265e-10,TRUE,"Soluble"
"Cct4",49.7038950481892,6.95075624415613e-12,3.78310092279022e-10,TRUE,"Soluble"
"Dusp3",49.5294037189935,7.22034855830362e-12,3.89204557863943e-10,TRUE,"Soluble"
"Gsta3",49.4281219804803,7.38201017914041e-12,3.94129038707249e-10,TRUE,"Soluble"
"Pkn1",49.0650670949654,7.99451776400904e-12,4.2280440174561e-10,TRUE,"Soluble"
"Iqgap1",49.0063150989495,8.09871258370969e-12,4.24311988264267e-10,TRUE,"Soluble"
"Supt16",48.6673518129221,8.72931774219034e-12,4.53116252432584e-10,TRUE,"Soluble"
"Cct6a",48.5120349096126,9.03586679036889e-12,4.60500629334618e-10,TRUE,"Soluble"
"Uba6",48.5227035120055,9.01444145370221e-12,4.60500629334618e-10,TRUE,"Soluble"
"Capg",48.2861515429836,9.50269515206176e-12,4.79928910112237e-10,TRUE,"Soluble"
"Prdx4",47.5167807283599,1.12994376589644e-11,5.65577209965666e-10,TRUE,"Soluble"
"Nasp",47.2834810870259,1.19145862101118e-11,5.8759086567065e-10,TRUE,"Soluble"
"Kank3",47.2708653247985,1.19488688345441e-11,5.8759086567065e-10,TRUE,"Soluble"
"Fkbp10",47.1758549864751,1.22105127175862e-11,5.95235950389464e-10,TRUE,"Soluble"
"Cct2",46.9224609040068,1.29391590097917e-11,6.25318322490452e-10,TRUE,"Soluble"
"Homer3",46.8240613225129,1.32346933815219e-11,6.3413411193856e-10,TRUE,"Soluble"
"Rps4x",46.7503991241954,1.34607153426226e-11,6.39498052633409e-10,TRUE,"Soluble"
"Rfc4",46.664266928349,1.37303161298359e-11,6.46824808603867e-10,TRUE,"Soluble"
"Ranbp2",46.5658510839955,1.40455455263401e-11,6.5616106850552e-10,TRUE,"Soluble"
"Man2b2",46.2544703920645,1.50956598693663e-11,6.99390654774111e-10,TRUE,"Soluble"
"Cops4",45.9328279820925,1.6270318584046e-11,7.47634475263624e-10,TRUE,"Soluble"
"Mtmr14",45.6481259388802,1.73929271507078e-11,7.92721541519251e-10,TRUE,"Soluble"
"Serpinb6b",45.3318994885748,1.87390493354345e-11,8.47186375600368e-10,TRUE,"Soluble"
"Fnbp1",44.8639618848387,2.09423769744603e-11,9.39223722550594e-10,TRUE,"Soluble"
"Lgals7",44.797471059723,2.12775882102364e-11,9.46683805607817e-10,TRUE,"Soluble"
"Hmgn2",44.7297088160657,2.16251977226738e-11,9.48204391713025e-10,TRUE,"Soluble"
"Glmn",44.7249100608853,2.16500467604829e-11,9.48204391713025e-10,TRUE,"Soluble"
"Rcc2",44.6754770977468,2.19078298358746e-11,9.52056543100101e-10,TRUE,"Soluble"
"Serpinb1a",44.5436028035305,2.26119363380107e-11,9.75096270083754e-10,TRUE,"Soluble"
"Smarcc1",44.0260014994094,2.56219798949792e-11,1.09646426939888e-09,TRUE,"Soluble"
"Epn2",43.5817545089001,2.85528974421291e-11,1.20351536135771e-09,TRUE,"Soluble"
"Snx18",43.6043841595129,2.83951293245763e-11,1.20351536135771e-09,TRUE,"Soluble"
"Ran",43.4970469019055,2.9151940585037e-11,1.21959536507252e-09,TRUE,"Soluble"
"Scpep1",43.4006551036102,2.9850220661177e-11,1.23955805204858e-09,TRUE,"Soluble"
"Lcp1",42.7284186520254,3.52540801894357e-11,1.45319392310277e-09,TRUE,"Soluble"
