"Package","Version"
"abind","1.4-8"
"admisc","0.40"
"Amelia","1.8.3"
"annotate","1.86.1"
"AnnotationDbi","1.70.0"
"ape","5.8-1"
"apeglm","1.30.0"
"aplot","0.3.0"
"AsioHeaders","1.30.2-1"
"askpass","1.2.1"
"assertthat","0.2.1"
"babelgene","22.9"
"backports","1.5.1"
"base","4.5.2"
"base64enc","0.1-6"
"basilisk","1.20.0"
"basilisk.utils","1.20.0"
"bbmle","1.0.25.1"
"bbotk","1.10.1"
"bdsmatrix","1.3-7"
"BH","1.90.0-1"
"bigD","0.3.1"
"Biobase","2.68.0"
"BiocFileCache","2.16.2"
"BiocGenerics","0.54.1"
"BiocIO","1.18.0"
"BiocManager","1.30.27"
"BiocParallel","1.42.2"
"BiocVersion","3.21.1"
"biomaRt","2.64.0"
"Biostrings","2.76.0"
"bit","4.6.0"
"bit64","4.8.2"
"bitops","1.0-9"
"blob","1.3.0"
"boot","1.3-32"
"brio","1.1.5"
"broom","1.0.13"
"bslib","0.11.0"
"cachem","1.1.0"
"Cairo","1.7-0"
"callr","3.8.0"
"car","3.1-5"
"carData","3.0-6"
"caTools","1.18.3"
"cellranger","1.1.0"
"changepoint","2.3"
"checkmate","2.3.4"
"chromote","0.5.1"
"circlize","0.4.18"
"class","7.3-23"
"cli","3.6.6"
"clipr","0.8.1"
"clue","0.3-68"
"cluster","2.1.8.2"
"clusterProfiler","4.16.0"
"coda","0.19-4.1"
"codetools","0.2-20"
"colorspace","2.1-2"
"commonmark","2.0.0"
"compiler","4.5.2"
"ComplexHeatmap","2.24.1"
"conflicted","1.2.0"
"corrplot","0.95"
"cowplot","1.2.0"
"cpp11","0.5.5"
"crayon","1.5.3"
"crosstalk","1.2.2"
"curl","7.1.0"
"cvar","0.6"
"data.table","1.18.4"
"data.tree","1.2.0"
"datasets","4.5.2"
"DBI","1.3.0"
"dbplyr","2.6.0"
"DelayedArray","0.34.1"
"deldir","2.0-4"
"dendextend","1.19.1"
"DEoptimR","1.2-0"
"DEqMS","1.26.0"
"Deriv","4.2.0"
"desc","1.4.3"
"DESeq2","1.48.2"
"diffobj","0.3.6"
"digest","0.6.39"
"dir.expiry","1.16.0"
"doBy","4.7.1"
"doParallel","1.0.17"
"DOSE","4.2.0"
"dplyr","1.2.1"
"dqrng","0.4.1"
"DT","0.34.0"
"dtplyr","1.3.3"
"dynamicTreeCut","1.63-1"
"DynDoc","1.86.0"
"e1071","1.7-17"
"edgeR","4.6.3"
"ellipse","0.5.0"
"emdbook","1.3.14"
"emmeans","2.0.3"
"EnhancedVolcano","1.26.0"
"enrichplot","1.28.4"
"estimability","1.5.1"
"evaluate","1.0.5"
"extrafont","0.20"
"extrafontdb","1.1"
"factoextra","2.1.0"
"FactoMineR","2.16"
"farver","2.1.2"
"fastcluster","1.3.0"
"fastICA","1.2-7"
"fastmap","1.2.0"
"fastmatch","1.1-8"
"fBasics","4052.98"
"fGarch","4052.93"
"fgsea","1.34.2"
"filelock","1.0.3"
"flashClust","1.1-4"
"FNN","1.1.4.1"
"fontawesome","0.5.3"
"forcats","1.0.1"
"foreach","1.5.2"
"forecast","9.0.2"
"foreign","0.8-91"
"formatR","1.14"
"Formula","1.2-5"
"fracdiff","1.5-4"
"fs","2.1.0"
"futile.logger","1.4.9"
"futile.options","1.0.1"
"future","1.70.0"
"future.apply","1.20.2"
"gargle","1.6.1"
"gbutils","0.5.1"
"genefilter","1.90.0"
"generics","0.1.4"
"GenomeInfoDb","1.44.3"
"GenomeInfoDbData","1.2.14"
"GenomicAlignments","1.44.0"
"GenomicFeatures","1.60.0"
"GenomicRanges","1.60.0"
"GetoptLong","1.1.1"
"GGally","2.4.0"
"ggfittext","0.10.3"
"ggforce","0.5.0"
"ggfortify","0.4.19"
"ggfun","0.2.0"
"ggh4x","0.3.1"
"ggnewscale","0.5.2"
"ggplot2","4.0.3"
"ggplotify","0.1.3"
"ggpubr","0.6.3"
"ggrepel","0.9.8"
"ggridges","0.5.7"
"ggsci","5.0.0"
"ggsignif","0.6.4"
"ggstats","0.13.0"
"ggtangle","0.1.2"
"ggtext","0.1.2"
"ggtree","3.16.3"
"ggvenn","0.1.19"
"ggVennDiagram","1.5.7"
"glmnet","5.0"
"GlobalOptions","0.1.4"
"globals","0.19.1"
"glue","1.8.1"
"GO.db","3.21.0"
"googledrive","2.1.2"
"googlesheets4","1.1.2"
"GOSemSim","2.34.0"
"gplots","3.3.0"
"gprofiler2","0.2.4"
"graphics","4.5.2"
"grDevices","4.5.2"
"grid","4.5.2"
"gridBase","0.4-7"
"gridExtra","2.3"
"gridGraphics","0.5-1"
"gridtext","0.1.6"
"gson","0.1.0"
"gss","2.2-10"
"gt","1.3.0"
"gtable","0.3.6"
"gtools","3.9.5"
"h5mread","1.0.1"
"haven","2.5.5"
"HDF5Array","1.36.0"
"here","1.0.2"
"highr","0.12"
"Hmisc","5.2-6"
"hms","1.1.4"
"htmlTable","2.5.0"
"htmltools","0.5.9"
"htmlwidgets","1.6.4"
"httpuv","1.6.17"
"httr","1.4.8"
"httr2","1.2.3"
"ids","1.0.1"
"igraph","2.3.2"
"impute","1.82.0"
"IRanges","2.42.0"
"irlba","2.3.7"
"isoband","0.3.0"
"iterators","1.0.14"
"jose","2.0.0"
"jpeg","0.1-11"
"jquerylib","0.1.4"
"jsonlite","2.0.0"
"juicyjuice","0.1.0"
"kableExtra","1.4.0"
"KEGGREST","1.48.1"
"KernSmooth","2.23-26"
"KFAS","1.6.0"
"knitr","1.51"
"labeling","0.4.3"
"laeken","0.5.3"
"lambda.r","1.2.4"
"later","1.4.8"
"lattice","0.22-9"
"lazyeval","0.2.3"
"leaps","3.2"
"lfda","1.1.3"
"lgr","0.5.2"
"lifecycle","1.0.5"
"limma","3.64.3"
"lintr","3.3.0-1"
"listenv","1.0.0"
"litedown","0.9"
"lme4","2.0-1"
"lmtest","0.9-40"
"locfit","1.5-9.12"
"lubridate","1.9.5"
"magrittr","2.0.5"
"mapdata","2.3.1"
"maps","3.4.3"
"markdown","2.0"
"maSigPro","1.80.0"
"MASS","7.3-65"
"mathjaxr","2.0-0"
"Matrix","1.7-5"
"MatrixGenerics","1.20.0"
"MatrixModels","0.5-4"
"matrixStats","1.5.0"
"mclust","6.1.2"
"memoise","2.0.1"
"metap","1.14"
"methods","4.5.2"
"Mfuzz","2.68.0"
"mgcv","1.9-4"
"microbenchmark","1.5.0"
"mime","0.13"
"minqa","1.2.8"
"mirai","2.7.1"
"mlbench","2.1-8"
"mlr3","1.7.1"
"mlr3learners","0.15.0"
"mlr3measures","1.3.0"
"mlr3misc","0.22.0"
"mlr3pipelines","0.11.0"
"mlr3tuning","1.6.0"
"mnormt","2.1.2"
"modelr","0.1.11"
"MOFA2","1.18.0"
"MOFAdata","1.24.0"
"moocore","0.3.1"
"msigdbr","26.1.0"
"MSwM","1.5"
"multcomp","1.4-30"
"multcompView","0.1-11"
"multtest","2.64.0"
"mutoss","0.1-14"
"mvtnorm","1.4-1"
"nanonext","1.9.1"
"NCmisc","1.3.1"
"nlme","3.1-169"
"nloptr","2.2.1"
"NLP","0.3-2"
"nnet","7.3-20"
"numDeriv","2016.8-1.1"
"openssl","2.4.2"
"openxlsx","4.2.8.1"
"org.Hs.eg.db","3.21.0"
"org.Mm.eg.db","3.21.0"
"otel","0.2.0"
"packrat","0.9.3"
"palmerpenguins","0.1.1"
"paradox","1.0.1"
"parallel","4.5.2"
"parallelly","1.47.0"
"patchwork","1.3.2"
"pbkrtest","0.5.5"
"pdftools","3.9.0"
"pheatmap","1.0.13"
"pillar","1.11.1"
"pkgbuild","1.4.8"
"pkgconfig","2.0.3"
"pkgload","1.5.3"
"PKI","0.1-15"
"plogr","0.2.0"
"plotly","4.12.0"
"plotrix","3.8-14"
"plyr","1.8.9"
"png","0.1-9"
"polyclip","1.10-7"
"polynom","1.4-1"
"praise","1.0.0"
"preprocessCore","1.70.0"
"prettyunits","1.2.0"
"processx","3.9.0"
"progress","1.2.3"
"promises","1.5.0"
"proxy","0.4-29"
"PRROC","1.4"
"ps","1.9.3"
"purrr","1.2.2"
"qpdf","1.4.1"
"qqconf","1.3.2"
"quadprog","1.5-8"
"quantmod","0.4.28"
"quantreg","6.1"
"qvalue","2.40.0"
"R.methodsS3","1.8.2"
"R.oo","1.27.1"
"R.utils","2.13.0"
"R6","2.6.1"
"ragg","1.5.2"
"ranger","0.18.0"
"rappdirs","0.3.4"
"rARPACK","0.11-0"
"raster","3.6-32"
"rbibutils","2.4.1"
"RColorBrewer","1.1-3"
"Rcpp","1.1.1-1.1"
"RcppAnnoy","0.0.23"
"RcppArmadillo","15.4.0-1"
"RcppEigen","0.3.4.0.2"
"RcppNumerical","0.7-0"
"RcppProgress","0.4.2"
"RcppTOML","0.2.3"
"RCurl","1.98-1.19"
"Rdpack","2.6.6"
"reactable","0.4.5"
"reactR","0.6.1"
"reader","1.1.0"
"readr","2.2.0"
"readxl","1.5.0"
"reformulas","0.4.4"
"rematch","2.0.0"
"rematch2","2.1.2"
"renv","1.2.3"
"reprex","2.1.1"
"reshape2","1.4.5"
"restfulr","0.0.17"
"reticulate","1.46.0"
"rex","1.2.2"
"rhdf5","2.52.1"
"rhdf5filters","1.20.0"
"Rhdf5lib","1.30.0"
"Rhtslib","3.4.0"
"rjson","0.2.23"
"rlang","1.2.0"
"rmarkdown","2.31"
"RMySQL","0.11.3"
"robustbase","0.99-7"
"ROCR","1.0-12"
"rpart","4.1.27"
"rprojroot","2.1.1"
"rrvgo","1.20.0"
"Rsamtools","2.24.1"
"rsconnect","1.10.0"
"RSpectra","0.16-2"
"RSQLite","3.53.2"
"rstatix","0.7.3"
"rstudioapi","0.19.0"
"Rsubread","2.22.1"
"rtracklayer","1.68.0"
"Rtsne","0.17"
"Rttf2pt1","1.3.14"
"rvest","1.0.5"
"S4Arrays","1.8.1"
"S4Vectors","0.46.0"
"S7","0.2.2"
"sandwich","3.1-1"
"sass","0.4.10"
"scales","1.4.0"
"scatterpie","0.2.6"
"scatterplot3d","0.3-45"
"selectr","0.6-0"
"shades","1.4.0"
"shape","1.4.6.1"
"shiny","1.14.0"
"shinydashboard","0.7.3"
"shinyjs","2.1.1"
"shinythemes","1.2.0"
"showtext","0.9-8"
"showtextdb","3.0"
"sitmo","2.0.2"
"slam","0.1-55"
"sn","2.1.3"
"snow","0.4-4"
"snowflakeauth","0.2.2"
"sourcetools","0.1.7-2"
"sp","2.2-1"
"SparseArray","1.8.1"
"SparseM","1.84-2"
"spatial","7.3-18"
"splines","4.5.2"
"stabledist","0.7-2"
"statmod","1.5.2"
"stats","4.5.2"
"stats4","4.5.2"
"stringi","1.8.7"
